"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"AVG_EVAP;nlogo";;;;;;;;
avg_evap15k;;;;;;;;
04/23/2019 17:14:19:745 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
6;4;1;15000;810,06;2,43;17;16293;84
2;4;1;15000;814,72;2,41;17;15663;75
7;4;1;15000;812,76;2,62;17;15837;81
5;4;1;15000;809,5;2,74;16;15808;80
3;4;1;15000;818,7;2,36;18;16789;78
4;4;1;15000;821,8;2,39;17;16833;60
8;4;1;15000;817,99;2,69;16;16296;87
12;4;1;15000;817,18;2,64;17;16226;89
11;4;1;15000;810,97;2,41;18;16498;81
10;4;1;15000;806,81;2,34;18;16343;62
14;4;1;15000;818,38;2,57;17;15717;100
13;4;1;15000;856,67;2,57;17;15863;77
9;4;1;15000;818,86;2,54;17;16309;77
15;4;1;15000;806,17;2,31;17;16931;85
1;4;1;15000;808,29;2,17;17;16902;61
17;4;1;15000;801,16;2,67;18;16021;89
16;4;1;15000;817,7;2,39;18;16919;86
18;4;1;15000;806,95;2,39;17;16921;90
20;4;1;15000;816,86;2,51;18;16518;83
19;4;1;15000;820;2,67;16;16050;71
21;4;1;15000;819,68;2,52;17;16086;74
22;4;1;15000;821,86;2,26;18;16485;88
24;4;1;15000;824,41;2,49;18;15815;72
25;4;1;15000;798,07;2,43;18;15917;81
27;4;1;15000;813,63;2,43;17;17031;79
26;4;1;15000;823,06;2,26;18;16966;75
29;4;1;15000;817,28;2,24;17;15923;75
28;4;1;15000;818,3;2,4;17;15642;83
30;4;1;15000;805,07;2,51;18;16451;80
23;4;1;15000;812,19;2,42;18;16589;70
;;;;815,5026667;2,459333333;17,3;16321,4;
;;;;10,20560594;0,144387728;0,651258728;446,7393439;
