"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"AVG_EVAP;nlogo";;;;;;;;
avg_evap15k;;;;;;;;
04/23/2019 16:48:06:366 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;819,84;2,8;16;11854;11
5;4;1;15000;813,14;2,7;16;10472;7
6;4;1;15000;820,63;2,74;16;11911;10
3;4;1;15000;817,57;2,6;16;11461;18
4;4;1;15000;806,22;2,62;16;11077;14
8;4;1;15000;816,94;2,77;16;11299;9
7;4;1;15000;816;2,71;15;11688;7
9;4;1;15000;810,89;2,84;17;11335;14
10;4;1;15000;806,25;2,65;17;11063;8
12;4;1;15000;813,84;2,69;18;11775;12
11;4;1;15000;807,43;2,66;17;11325;14
14;4;1;15000;811,05;2,78;16;11719;9
13;4;1;15000;815,01;2,71;16;11383;14
1;4;1;15000;827,96;2,85;16;11459;12
15;4;1;15000;802,85;2,58;17;11171;11
16;4;1;15000;805,41;2,53;17;10976;10
20;4;1;15000;821,57;2,62;17;10476;17
17;4;1;15000;816,78;2,56;17;11560;10
19;4;1;15000;811,86;2,87;16;11119;7
18;4;1;15000;817,69;2,66;15;11727;14
23;4;1;15000;815,43;2,78;16;11949;11
21;4;1;15000;816,77;2,68;16;11681;9
25;4;1;15000;820,03;2,65;17;11359;11
26;4;1;15000;822,94;2,81;16;11390;10
27;4;1;15000;821,96;2,59;17;12086;15
24;4;1;15000;811,96;2,65;17;11929;24
29;4;1;15000;821,85;2,71;17;11229;13
28;4;1;15000;800,69;2,67;17;11396;13
30;4;1;15000;808,85;2,71;17;11266;10
22;4;1;15000;820,03;2,56;16;11619;11
;;;;814,648;2,691666667;16,43333333;11425,13333;
;;;;6,555277632;0,09101282;0,678910554;389,7602033;
