BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone_AVG_Time.nlogo;;;;;;;;
avg10k;;;;;;;;
04/01/2019 22:44:54:992 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;825,84;2,42;9;6648;14
2;4;1;10000;799,7;2,1;10;6094;14
4;4;1;10000;800,31;2,15;10;6363;10
1;4;1;10000;795,72;2,24;11;6336;12
5;4;1;10000;806,76;2,31;10;6379;11
7;4;1;10000;813,68;2,32;11;6219;16
6;4;1;10000;810,38;2,29;10;6429;9
8;4;1;10000;792,99;2,32;9;6159;5
9;4;1;10000;786,59;2,52;10;5516;10
10;4;1;10000;827,86;2,18;10;6518;14
11;4;1;10000;793,81;2,18;10;6827;11
12;4;1;10000;797,25;2,26;10;6926;8
13;4;1;10000;794,64;2,33;9;6737;7
14;4;1;10000;820,7;2,26;11;7223;11
15;4;1;10000;798,8;2,41;10;6415;14
17;4;1;10000;809,35;2,39;10;6698;10
18;4;1;10000;799,77;2,28;10;5935;9
16;4;1;10000;802,75;2,58;9;6324;11
19;4;1;10000;802,02;2,63;10;7089;10
20;4;1;10000;799,14;2,48;10;6493;8
21;4;1;10000;818,62;2,26;9;6181;12
22;4;1;10000;822,55;2,44;10;6533;9
23;4;1;10000;788,04;2,42;10;5981;13
24;4;1;10000;812,22;2,16;9;6770;9
25;4;1;10000;797,95;2,31;10;6549;10
26;4;1;10000;812,11;2,4;10;6589;11
27;4;1;10000;805,71;2,22;10;6949;10
28;4;1;10000;790,6;2,22;10;6424;13
29;4;1;10000;802;2,22;9;6276;8
30;4;1;10000;794,74;2,5;10;6227;7
;;;;804,0866667;2,326666667;9,866666667;6460,233333;
;;;;11,12061811;0,132126724;0,571346464;360,4061582;
