BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone_AVG.nlogo;;;;;;;;
avg15k;;;;;;;;
03/26/2019 19:26:27:089 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;15000;818,67;2,76;16;10799;15
4;4;1;15000;849,57;3,17;15;11050;21
2;4;1;15000;822,46;2,8;15;10624;18
1;4;1;15000;823,01;2,85;16;11109;16
6;4;1;15000;842,18;2,99;16;11115;20
5;4;1;15000;820,4;2,81;17;10750;19
7;4;1;15000;840,37;2,81;16;11358;28
8;4;1;15000;815,87;2,61;16;11237;25
9;4;1;15000;824,25;2,69;16;10610;18
10;4;1;15000;811,36;2,76;16;10688;19
11;4;1;15000;832,81;2,58;16;11579;18
12;4;1;15000;818,58;2,9;15;10772;20
13;4;1;15000;813,61;2,68;16;10623;20
15;4;1;15000;829,58;2,76;16;10100;19
14;4;1;15000;821,26;2,79;15;11122;20
16;4;1;15000;824,46;2,54;16;11275;20
17;4;1;15000;811,44;2,97;16;10805;12
18;4;1;15000;830,29;2,77;16;11446;25
19;4;1;15000;821,73;2,89;16;10938;12
20;4;1;15000;807,12;2,74;18;10991;20
21;4;1;15000;828,53;2,86;16;11421;19
22;4;1;15000;824,06;3,07;14;11032;14
23;4;1;15000;833,71;2,85;16;11627;16
24;4;1;15000;830,44;2,79;16;11974;19
25;4;1;15000;811,95;2,51;17;11069;20
26;4;1;15000;817,3;2,77;17;10429;18
27;4;1;15000;824,41;2,68;16;10919;16
29;4;1;15000;821,84;2,77;16;11475;20
30;4;1;15000;820,64;2,83;16;10455;19
28;4;1;15000;819,6;2,82;16;10942;33
;;;;823,7166667;2,794;15,96666667;11011,13333;
;;;;9,547736086;0,142673971;0,718395402;404,9741357;
