"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrone_AVG;nlogo";;;;;;;;
avg20k;;;;;;;;
03/26/2019 18:40:41:912 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
1;4;1;20000;838,27;3,24;24;15967;22
4;4;1;20000;854,58;3,41;22;15705;28
3;4;1;20000;844,26;3,3;23;15143;19
2;4;1;20000;831,4;3,36;22;15612;38
5;4;1;20000;822,69;3,21;23;15400;21
7;4;1;20000;826,52;3,4;22;15004;20
6;4;1;20000;824,27;3,36;23;15405;24
8;4;1;20000;832,97;2,95;23;15468;41
9;4;1;20000;834,77;3,15;23;15909;22
10;4;1;20000;845,44;3,41;22;15357;27
11;4;1;20000;824,95;3,23;22;15884;28
12;4;1;20000;835,39;3,34;22;15578;22
13;4;1;20000;831,69;3,34;22;14836;28
14;4;1;20000;824,47;3,09;24;15072;27
15;4;1;20000;829,45;3,15;22;15601;36
16;4;1;20000;840,7;3,05;23;15721;37
17;4;1;20000;845,53;3,25;23;15912;36
18;4;1;20000;834,85;3,21;23;15534;36
19;4;1;20000;838,57;3,23;23;15415;30
20;4;1;20000;851;3,26;21;16080;27
21;4;1;20000;828,72;3,26;23;14890;21
22;4;1;20000;835,04;3,16;23;15641;28
23;4;1;20000;830,29;3,16;23;15968;20
24;4;1;20000;831,47;3,15;23;15677;37
25;4;1;20000;837,69;3,13;24;15656;34
26;4;1;20000;830,98;3,31;22;15606;25
27;4;1;20000;848,54;3,35;22;15369;32
29;4;1;20000;837,93;3,42;22;15440;28
30;4;1;20000;847,8;3,18;23;15753;27
28;4;1;20000;835,19;3,32;23;15917;23
;;;;835,8473333;3,246;22,66666667;15550,66667;
;;;;8,391685102;0,115806021;0,711159002;325,0803968;
