BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrones_avg_wathershed.nlogo;;;;;;;;
10k;;;;;;;;
11/19/2018 21:04:10:040 -0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;795,59;2,31;10;6463;28
8;4;1;10000;793,69;2,32;10;6701;25
4;4;1;10000;798,07;2,27;9;6670;9
3;4;1;10000;799,18;2,33;10;6869;26
5;4;1;10000;798,46;2,28;10;6913;31
6;4;1;10000;795,65;2,2;10;6783;12
1;4;1;10000;793,73;2,06;11;6697;49
7;4;1;10000;793,89;2,35;10;6625;20
9;4;1;10000;805,37;2,55;10;6993;28
12;4;1;10000;784,24;2,3;10;6552;19
11;4;1;10000;787,78;2,16;10;7065;27
10;4;1;10000;808,03;2,3;10;6999;20
14;4;1;10000;807,47;2,44;10;6760;22
13;4;1;10000;817,73;2,47;9;6489;32
15;4;1;10000;793,09;2,18;10;7104;16
16;4;1;10000;805,46;2,17;10;6881;33
17;4;1;10000;800,88;2,21;10;6917;31
20;4;1;10000;794,18;2,39;10;6558;23
19;4;1;10000;792,33;2,43;10;7011;38
18;4;1;10000;801,21;2,34;10;6382;20
21;4;1;10000;797,84;2,15;10;6527;27
22;4;1;10000;785,49;2,33;10;6614;22
23;4;1;10000;788,51;2,16;11;6802;36
24;4;1;10000;795,95;2,34;10;6540;26
26;4;1;10000;795,93;2,32;9;7319;31
25;4;1;10000;819,05;2,45;9;6566;35
27;4;1;10000;803,49;2,34;9;6368;20
30;4;1;10000;812,01;2,36;10;6928;32
29;4;1;10000;791,92;2,36;9;6729;26
28;4;1;10000;811;2,26;10;6889;26
;;;;798,9073333;2,304333333;9,866666667;6757,133333;
;;;;8,799024998;0,109345493;0,507416263;231,8135001;
;;;;;;;;
