"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"avg_ws_ts;nlogo";;;;;;;;
20k;;;;;;;;
04/10/2019 15:04:12:719 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;20000;833;3,03;23;16046;44
4;4;1;20000;843,22;3,43;23;16153;83
5;4;1;20000;838,09;3,02;23;16164;74
7;4;1;20000;844,63;3,42;23;16386;91
6;4;1;20000;843,66;3,16;21;16588;52
3;4;1;20000;854,57;3,49;23;16106;69
1;4;1;20000;850,63;3,32;23;15955;59
8;4;1;20000;838,87;3,29;21;15904;64
9;4;1;20000;830,61;3,52;22;16303;71
11;4;1;20000;829,18;3,05;23;15497;52
12;4;1;20000;839,18;3,37;21;16179;54
10;4;1;20000;839,46;3,42;22;16878;75
14;4;1;20000;828,32;3,29;24;16289;75
13;4;1;20000;829,78;3,2;24;16467;66
15;4;1;20000;845,62;3,47;22;16564;58
16;4;1;20000;831,76;3,21;23;16234;66
17;4;1;20000;840,05;3,36;21;15708;52
18;4;1;20000;832,93;3,49;22;16335;70
20;4;1;20000;827,98;3,31;23;16416;50
19;4;1;20000;831,67;3,36;23;16821;65
21;4;1;20000;830,94;3,11;23;16377;80
22;4;1;20000;823,22;3,22;23;16449;82
23;4;1;20000;836,35;3,16;22;16212;57
24;4;1;20000;838,89;3,15;24;16491;57
25;4;1;20000;837,18;3,16;22;15786;62
27;4;1;20000;827,74;3,06;23;15744;52
26;4;1;20000;848,39;3,35;21;16496;60
30;4;1;20000;825,53;3,36;23;16046;86
29;4;1;20000;832,33;3,27;24;16075;69
28;4;1;20000;846,98;3,28;23;16461;69
;;;;836,692;3,277666667;22,6;16237,66667;
;;;;7,944481233;0,145476229;0,932183199;318,9006259;
