"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"Centralized_CFS;nlogo";;;;;;;;
c_cfs10k;;;;;;;;
05/08/2019 11:15:29:874 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;1046,77;1,7;11;6392;272
4;4;1;10000;992,8;1,93;11;5948;221
2;4;1;10000;936,03;1,76;12;6454;288
3;4;1;10000;1006,16;1,94;12;6312;283
8;4;1;10000;1049,59;1,98;11;5730;327
7;4;1;10000;1010,31;1,56;12;6937;300
6;4;1;10000;962,53;1,78;11;6645;333
1;4;1;10000;1024,17;2,25;11;5559;257
9;4;1;10000;1018,39;2,18;11;6987;398
10;4;1;10000;972,39;2,27;11;6248;323
11;4;1;10000;916,42;1,59;12;7319;247
12;4;1;10000;929,4;2,32;11;6763;263
13;4;1;10000;937,3;2,39;11;5862;247
14;4;1;10000;1036,09;1,59;12;5372;299
15;4;1;10000;993,47;1,95;12;5840;256
17;4;1;10000;979,96;1,81;12;6670;342
18;4;1;10000;976,03;1,73;12;6148;350
16;4;1;10000;1033,38;1,74;12;6300;249
19;4;1;10000;992,77;1,65;11;6148;309
20;4;1;10000;952,38;1,92;11;5964;244
21;4;1;10000;937,31;1,91;12;6996;299
22;4;1;10000;921,16;1,66;12;6105;232
25;4;1;10000;973,25;1,85;12;6212;293
24;4;1;10000;951,38;1,74;11;6599;388
23;4;1;10000;1016,72;1,65;11;6375;311
27;4;1;10000;961,3;2,1;12;6092;233
28;4;1;10000;1015,05;2,07;11;6583;289
26;4;1;10000;952;2,03;10;6500;388
29;4;1;10000;1007,06;1,92;11;5998;339
30;4;1;10000;944,8;1,78;11;5795;298
;;;;981,5456667;1,891666667;11,4;6295,1;
;;;;38,99304436;0,228926781;0,563241848;453,9903804;
