BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS.nlogo;;;;;;;;
c_cfs15k;;;;;;;;
05/08/2019 11:16:25:082 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;1030,69;2,25;19;13002;933
4;4;1;15000;1005,08;2,01;19;13338;832
7;4;1;15000;1026,55;1,67;19;12726;703
5;4;1;15000;1023,43;1,96;18;12467;842
1;4;1;15000;1019,97;1,71;20;12735;806
6;4;1;15000;1035,85;1,91;20;12328;769
3;4;1;15000;1016,23;1,76;19;12719;776
8;4;1;15000;1042,04;2,47;19;11428;721
9;4;1;15000;1040,43;1,74;20;13452;845
10;4;1;15000;1024,78;1,6;20;11675;717
11;4;1;15000;1036,24;1,6;19;11935;709
12;4;1;15000;1040,01;2,26;19;13246;792
14;4;1;15000;1072,97;1,97;19;11222;699
13;4;1;15000;1055,09;1,84;18;12607;827
15;4;1;15000;1070,24;1,57;18;13167;921
17;4;1;15000;1038,67;1,51;20;13711;888
16;4;1;15000;1039,36;2,42;19;12483;718
18;4;1;15000;1133,62;3,08;19;10776;749
19;4;1;15000;1056,53;1,93;18;13008;1003
24;4;1;15000;1062,96;2,11;18;13110;836
21;4;1;15000;1039,09;2,28;20;11922;635
20;4;1;15000;1034,99;2,3;19;12829;723
22;4;1;15000;971,1;2,35;19;12717;707
23;4;1;15000;1027,1;2;20;12319;758
25;4;1;15000;1022,31;1,95;19;13177;889
26;4;1;15000;1048,54;2,05;19;11973;834
27;4;1;15000;1010,86;1,73;19;13051;710
28;4;1;15000;1013,66;1,7;19;12281;758
30;4;1;15000;1067,56;1,68;20;12853;748
29;4;1;15000;1067,16;1,5;19;12869;774
;;;;1039,103667;1,963666667;19,1;12570,86667;
;;;;28,24343604;0,351445128;0,661763579;685,5582036;
