"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"Centralized_CFS;nlogo";;;;;;;;
c_cfs10k;;;;;;;;
05/08/2019 11:04:34:158 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;10000;839,63;0,84;14;7534;142
5;4;1;10000;868,2;1,14;13;7840;126
2;4;1;10000;869,07;1,18;13;7901;144
7;4;1;10000;838,43;0,95;12;7782;98
3;4;1;10000;866,8;1;13;7562;121
6;4;1;10000;852,78;1,39;13;7864;113
8;4;1;10000;827,17;0,85;13;7631;113
1;4;1;10000;863,5;1,08;13;7482;136
9;4;1;10000;862,95;1,18;13;7773;143
11;4;1;10000;839,88;1,07;13;7745;134
13;4;1;10000;853,02;1,24;13;7322;111
10;4;1;10000;848,61;0,92;13;7079;110
12;4;1;10000;830,2;1,19;12;7191;125
14;4;1;10000;823,16;0,94;14;7385;93
15;4;1;10000;817,2;0,94;13;7660;86
17;4;1;10000;829,57;0,99;12;8176;134
19;4;1;10000;831,66;0,91;14;7053;99
18;4;1;10000;843,09;0,86;14;7380;109
20;4;1;10000;842,86;1,01;13;8299;161
21;4;1;10000;861,74;1,06;14;7542;121
16;4;1;10000;846,47;1,14;13;7607;118
22;4;1;10000;850,44;1,03;13;7391;100
24;4;1;10000;847,98;0,91;14;8044;146
25;4;1;10000;880,24;0,88;13;7267;141
23;4;1;10000;827,8;0,94;13;7788;127
26;4;1;10000;872,34;1,2;13;7116;195
27;4;1;10000;875,03;1,53;12;7824;140
28;4;1;10000;847,5;0,97;13;7862;167
29;4;1;10000;835,1;0,93;14;7635;118
30;4;1;10000;846,05;1,1;13;7535;125
;;;;847,949;1,045666667;13,1;7609;
;;;;16,66789012;0,161665541;0,607425318;310,8961463;
