BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS.nlogo;;;;;;;;
c_cfs15k;;;;;;;;
05/08/2019 11:05:44:751 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;878,84;1,11;20;13534;281
5;4;1;15000;883,08;1;21;13917;308
4;4;1;15000;857,91;1,14;21;13006;227
3;4;1;15000;895,05;1,04;21;14072;294
7;4;1;15000;878,73;0,94;22;13754;262
8;4;1;15000;849,34;1,24;21;12704;192
1;4;1;15000;877,06;1,11;21;13424;291
6;4;1;15000;836,83;1,05;21;12785;175
9;4;1;15000;853,06;0,98;21;13062;177
11;4;1;15000;859,86;1,04;21;13279;215
10;4;1;15000;848,05;0,97;21;13511;233
12;4;1;15000;858,37;0,91;22;13448;234
13;4;1;15000;850,1;1,08;21;12885;205
14;4;1;15000;860,42;0,91;21;12807;218
17;4;1;15000;868,79;1,17;21;13590;284
18;4;1;15000;845,86;0,91;22;12950;178
19;4;1;15000;870,12;1,05;21;13466;264
20;4;1;15000;866,07;0,92;22;12461;189
15;4;1;15000;870,41;1,02;22;13608;273
16;4;1;15000;845,91;1,01;21;13178;222
21;4;1;15000;868,2;0,91;21;12798;248
22;4;1;15000;857,75;1,22;20;12511;202
23;4;1;15000;877,77;0,93;22;12948;205
24;4;1;15000;856,55;0,88;20;13350;227
26;4;1;15000;883,34;1,01;21;14002;301
25;4;1;15000;855,68;0,91;22;13445;227
27;4;1;15000;857,25;1,18;21;13552;257
29;4;1;15000;870,06;0,93;21;13412;224
28;4;1;15000;903,01;0,91;21;13094;232
30;4;1;15000;872,8;0,9;21;12822;179
;;;;865,209;1,012666667;21,13333333;13245,83333;
;;;;15,19968633;0,104318258;0,571346464;428,3131374;
