BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/11/2019 18:02:37:132 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;780,19;0,68;14;8037;66
2;4;1;10000;771,64;0,83;13;7628;56
1;4;1;10000;783,1;0,7;14;7659;56
4;4;1;10000;770,54;0,86;14;7994;60
5;4;1;10000;780,59;0,8;14;7612;54
6;4;1;10000;770,31;0,82;14;7818;56
7;4;1;10000;768,61;0,89;14;7974;65
8;4;1;10000;761,44;0,75;14;7812;64
9;4;1;10000;770,1;0,86;14;8084;50
10;4;1;10000;779,32;0,75;14;8186;72
11;4;1;10000;782,33;0,75;13;8403;85
13;4;1;10000;777,88;0,74;14;7973;62
12;4;1;10000;783,62;0,79;13;7852;68
14;4;1;10000;769,3;0,77;14;7716;59
15;4;1;10000;773,22;0,72;14;7923;58
16;4;1;10000;769;0,76;14;7492;48
17;4;1;10000;774,24;0,73;14;8143;59
18;4;1;10000;778,74;0,74;14;7831;69
20;4;1;10000;756,09;0,76;14;7815;54
19;4;1;10000;770,14;0,83;14;7762;62
22;4;1;10000;778,91;0,9;13;8089;65
21;4;1;10000;797,12;0,78;14;8349;64
23;4;1;10000;758,73;0,9;14;7540;45
24;4;1;10000;761,15;0,76;14;7444;63
25;4;1;10000;775,17;0,87;14;8151;69
26;4;1;10000;771,41;0,92;14;8172;55
27;4;1;10000;769,9;0,71;14;7765;78
28;4;1;10000;765,89;0,73;14;7725;63
29;4;1;10000;773,58;0,78;14;8061;68
30;4;1;10000;765,42;0,75;14;7914;49
;;;;772,9226667;0,787666667;13,86666667;7897,466667;
;;;;8,500464463;0,065584025;0,345745904;243,2819754;
