BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_ws.nlogo;;;;;;;;
cfs_ws15k;;;;;;;;
05/12/2019 16:06:29:866 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;15000;1034,26;2,12;19;12690;794
2;4;1;15000;1006,67;1,49;20;13068;785
1;4;1;15000;1059,35;2,15;18;12951;878
3;4;1;15000;1042,29;2;19;12598;765
5;4;1;15000;1011,9;2,21;19;12516;704
6;4;1;15000;1053,52;1,78;20;12802;747
7;4;1;15000;1031,71;1,86;19;13397;851
8;4;1;15000;1032,9;2,4;19;11305;739
9;4;1;15000;1025,63;2,12;18;11795;678
10;4;1;15000;981,25;1,7;20;12684;715
11;4;1;15000;1032,97;1,95;19;12535;784
12;4;1;15000;1037,23;2,27;18;13190;838
13;4;1;15000;1081,09;1,54;19;11899;699
14;4;1;15000;1016,74;2,58;19;13193;881
15;4;1;15000;1032,55;2,24;18;12973;787
16;4;1;15000;1045,99;1,62;19;12402;813
17;4;1;15000;1034,68;1,65;19;12601;675
18;4;1;15000;1006,3;2,41;18;13208;1020
20;4;1;15000;1011,75;1,89;20;12378;773
19;4;1;15000;1039,86;2,15;20;11990;833
21;4;1;15000;984,99;1,89;20;13099;691
22;4;1;15000;1013,77;1,76;19;12653;749
23;4;1;15000;1063,09;1,93;19;13632;912
24;4;1;15000;1092,14;2,37;19;12086;913
25;4;1;15000;1047,67;1,88;20;12684;841
26;4;1;15000;993,56;1,74;19;12817;736
27;4;1;15000;1016,71;1,69;20;13190;764
28;4;1;15000;1037,6;2,03;19;13328;928
29;4;1;15000;1036,49;1,97;18;13375;770
30;4;1;15000;1030,59;2,05;19;11984;865
;;;;1031,175;1,981333333;19,06666667;12700,76667;
;;;;24,98761096;0,275902698;0,691491807;548,3197962;
