BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_ws.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/12/2019 14:48:01:205 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;10000;849,07;0,88;13;8237;142
2;4;1;10000;868,29;1,01;13;7970;130
3;4;1;10000;835,56;0,86;13;8116;141
1;4;1;10000;820,7;0,93;14;8246;124
5;4;1;10000;822,26;0,84;13;7853;103
6;4;1;10000;813,28;0,92;14;7433;110
7;4;1;10000;829,54;0,97;13;7670;128
8;4;1;10000;806,06;0,88;14;8085;118
9;4;1;10000;839,09;1,21;13;8196;163
10;4;1;10000;810,04;0,95;13;7385;82
11;4;1;10000;852,85;1,08;13;8193;133
12;4;1;10000;854,22;0,93;14;8190;123
13;4;1;10000;827,86;1,01;14;8035;156
14;4;1;10000;826,52;0,9;13;8249;91
15;4;1;10000;831,48;0,86;14;7660;107
17;4;1;10000;842,21;0,9;13;7844;127
16;4;1;10000;841,76;0,97;13;8469;176
18;4;1;10000;824,9;1,21;13;8111;142
19;4;1;10000;820,8;1,13;13;7969;119
20;4;1;10000;814,63;0,81;14;7672;125
21;4;1;10000;826,03;1,04;13;7704;134
22;4;1;10000;820,45;0,82;13;7896;120
24;4;1;10000;830,89;0,87;12;8057;114
23;4;1;10000;837,36;1,03;13;8082;98
25;4;1;10000;841,01;1,13;14;8296;122
27;4;1;10000;824,9;1,22;13;7894;125
26;4;1;10000;842,71;1,05;13;8414;125
28;4;1;10000;809,86;1,07;12;7988;109
30;4;1;10000;831,27;0,96;13;8167;118
29;4;1;10000;807,86;0,96;13;7925;79
;;;;830,1153333;0,98;13,2;8000,2;
;;;;14,93735857;0,117091182;0,550861394;265,0018087;
