BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws20k;;;;;;;;
05/14/2019 15:02:58:254 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;20000;768,18;0,73;30;16843;104
5;4;1;20000;761,51;0,68;30;16722;106
7;4;1;20000;768,55;0,72;30;17135;114
4;4;1;20000;772,38;0,89;30;16933;96
6;4;1;20000;769,8;0,78;30;16972;122
2;4;1;20000;773,73;0,74;30;17327;131
8;4;1;20000;776,76;0,67;30;16764;118
1;4;1;20000;767,61;0,72;30;16736;130
10;4;1;20000;763,57;0,71;30;16685;116
9;4;1;20000;773,31;0,71;30;17254;123
12;4;1;20000;771,05;0,76;29;16856;110
11;4;1;20000;761,37;0,71;30;16845;100
13;4;1;20000;768,77;0,76;30;16847;105
15;4;1;20000;766,37;0,74;30;17114;138
14;4;1;20000;770,3;0,7;30;16831;108
17;4;1;20000;771,98;0,68;30;17111;112
18;4;1;20000;771,87;0,66;30;17120;133
19;4;1;20000;770,77;0,73;30;16900;105
20;4;1;20000;769,8;0,82;30;16673;118
22;4;1;20000;768,03;0,79;30;16945;115
23;4;1;20000;773,06;0,81;30;17043;120
21;4;1;20000;772,97;0,72;30;16930;124
16;4;1;20000;766,97;0,81;30;16536;115
25;4;1;20000;779,17;0,78;30;17113;102
24;4;1;20000;776,49;0,78;30;16869;126
26;4;1;20000;767,86;0,71;30;16778;93
28;4;1;20000;766,36;0,7;30;16624;102
27;4;1;20000;765,6;0,74;30;16711;95
30;4;1;20000;767,3;0,7;30;16936;111
29;4;1;20000;766,59;0,71;30;16779;114
;;;;769,6026667;0,738666667;29,96666667;16897,73333;
;;;;4,185602526;0,051174706;0,182574186;189,6670283;
;;;;;;;;
;;;;761,37;0,66;29;16536;
;;;;779,17;0,89;30;17327;
