BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 08:45:45:336 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;855,85;1,88;11;8202;37
3;4;1;10000;859,96;1,73;11;9383;49
5;4;1;10000;848,75;1,54;11;9725;61
8;4;1;10000;857,69;1,59;10;8340;47
4;4;1;10000;831,67;1,91;11;9238;49
1;4;1;10000;869,93;1,62;11;7807;26
6;4;1;10000;832,17;1,52;11;8497;42
7;4;1;10000;843,63;1,8;11;9754;42
9;4;1;10000;849,49;1,7;10;9008;49
10;4;1;10000;849,11;1,48;10;9885;50
11;4;1;10000;835,03;1,74;12;9156;47
13;4;1;10000;878,92;1,79;10;9053;43
12;4;1;10000;852,74;1,72;11;8218;32
15;4;1;10000;837,04;1,69;11;8276;50
14;4;1;10000;861,94;1,87;11;8835;61
16;4;1;10000;821,81;1,42;11;9037;45
17;4;1;10000;876,66;1,78;11;9212;50
18;4;1;10000;866,61;1,74;10;9239;39
19;4;1;10000;842,58;1,48;11;8672;46
20;4;1;10000;840,15;1,79;11;8963;60
21;4;1;10000;862,74;1,8;11;8255;44
23;4;1;10000;829,73;1,58;10;9659;46
22;4;1;10000;864,63;1,47;12;9418;54
25;4;1;10000;907,17;1,51;11;8333;50
26;4;1;10000;856,7;1,69;11;8782;50
24;4;1;10000;867,14;1,59;11;9649;62
27;4;1;10000;861,02;1,65;11;8375;50
28;4;1;10000;875,61;1,66;11;9301;61
29;4;1;10000;856,26;1,57;12;8871;39
30;4;1;10000;849,82;1,72;11;9195;44
;;;;854,7516667;1,667666667;10,9;8944,6;
;;;;17,74555371;0,132604762;0,547722558;549,3991451;
;;;;;;;;
;;;;821,81;1,42;10;7807;
;;;;907,17;1,91;12;9885;
