BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 09:04:54:140 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;749,73;1,05;13;9444;24
7;4;1;10000;746,41;0,96;12;9712;27
4;4;1;10000;741,68;1,03;13;9548;23
6;4;1;10000;738,9;0,86;13;9339;15
2;4;1;10000;750,69;0,95;13;9577;36
8;4;1;10000;741,38;0,99;13;9030;26
3;4;1;10000;749,28;0,96;12;9596;31
1;4;1;10000;745,81;0,91;13;9539;39
9;4;1;10000;747,72;1,02;12;9479;42
11;4;1;10000;746,33;0,98;13;9262;23
10;4;1;10000;743,67;0,86;13;9417;24
12;4;1;10000;746,62;0,88;13;9847;23
13;4;1;10000;747,25;0,9;13;9673;29
14;4;1;10000;744,36;0,91;13;9364;31
15;4;1;10000;745,16;0,83;13;9886;28
16;4;1;10000;742,36;0,92;13;9862;36
17;4;1;10000;739,68;0,93;13;9326;14
18;4;1;10000;734,3;0,87;13;9460;28
19;4;1;10000;742,1;0,85;12;9568;26
20;4;1;10000;743,14;0,91;13;9327;29
22;4;1;10000;737,03;0,95;12;9509;19
21;4;1;10000;744,47;0,89;13;9449;23
23;4;1;10000;741,34;0,96;13;9488;21
24;4;1;10000;741,09;1,04;13;9712;25
25;4;1;10000;743,28;0,84;12;9479;30
27;4;1;10000;745,41;0,89;12;9500;32
26;4;1;10000;746;0,94;13;9763;36
28;4;1;10000;741,6;0,89;14;9376;12
30;4;1;10000;747,01;0,88;13;9476;25
29;4;1;10000;739,88;1,03;13;9509;30
;;;;743,7893333;0,929333333;12,8;9517,233333;
;;;;3,770088203;0,062749273;0,484234198;187,3270574;
;;;;;;;;
;;;;734,3;0,83;12;9030;
;;;;750,69;1,05;14;9886;
