BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_wsts_es_time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 11:30:52:880 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;843,73;1,61;12;8580;42
5;4;1;10000;868,73;2,06;10;8298;59
6;4;1;10000;901,34;1,73;11;8528;74
4;4;1;10000;898,67;2,05;10;8377;50
7;4;1;10000;926,96;2,06;9;8523;39
1;4;1;10000;877,16;2,52;11;9185;56
3;4;1;10000;861,96;1,92;10;8890;49
8;4;1;10000;856,19;2,33;10;8494;42
9;4;1;10000;890,71;1,85;10;7673;41
10;4;1;10000;844,6;2,01;11;8515;63
11;4;1;10000;868,21;1,94;10;7546;29
12;4;1;10000;921,23;1,7;10;8369;58
13;4;1;10000;888,59;1,84;11;8703;58
14;4;1;10000;905,19;2,52;9;8174;66
16;4;1;10000;879,1;1,63;11;8668;40
15;4;1;10000;872,7;1,87;10;8419;61
18;4;1;10000;865,26;2,12;10;7842;49
17;4;1;10000;892,47;1,81;9;8537;44
21;4;1;10000;852,78;2,23;10;8672;54
19;4;1;10000;855,96;2,12;11;8890;56
20;4;1;10000;882,75;1,89;11;9096;54
22;4;1;10000;886,73;2,04;11;9174;37
24;4;1;10000;870,31;1,93;11;8495;60
23;4;1;10000;864,44;2,15;10;7419;53
25;4;1;10000;878,35;1,69;11;8073;38
26;4;1;10000;878,23;1,88;11;8312;45
27;4;1;10000;862,3;1,81;11;8345;58
28;4;1;10000;893,7;2,48;10;8880;68
29;4;1;10000;867,66;2,14;9;9631;40
30;4;1;10000;859,83;1,87;10;8654;58
;;;;877,1946667;1,993333333;10,33333333;8498,733333;
;;;;20,53733954;0,246175342;0,758098044;482,86965;
;;;;;;;;
;;;;843,73;1,61;9;7419;
;;;;926,96;2,52;12;9631;
