BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
cfs_wsts_es_time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 11:15:04:552 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;746,89;1,13;13;9713;50
2;4;1;10000;740,37;1,02;13;9727;39
7;4;1;10000;738,03;1,16;12;9662;27
4;4;1;10000;737,92;0,96;12;10004;38
6;4;1;10000;740,91;0,98;13;9952;22
8;4;1;10000;738,36;0,93;13;9498;28
5;4;1;10000;732,8;0,86;13;9426;26
1;4;1;10000;738,04;0,93;13;9435;33
9;4;1;10000;742,41;0,92;13;9915;32
10;4;1;10000;742;0,95;13;9558;24
11;4;1;10000;731,2;0,95;13;9385;18
12;4;1;10000;737,08;1,02;12;9483;21
13;4;1;10000;738,12;1,09;13;9383;30
14;4;1;10000;747,21;1,3;12;9588;28
15;4;1;10000;737,95;1,12;13;9359;30
16;4;1;10000;738,41;0,91;13;9724;33
17;4;1;10000;742,41;0,96;13;9786;31
18;4;1;10000;735,34;1,09;13;9185;33
19;4;1;10000;741,39;0,99;13;9348;21
20;4;1;10000;736,6;1,09;13;9469;30
22;4;1;10000;735,26;0,95;13;9490;29
21;4;1;10000;742,05;1,1;13;9938;27
23;4;1;10000;735,92;1,03;13;9612;41
24;4;1;10000;742,2;0,89;13;9486;26
25;4;1;10000;739,6;1,14;12;9327;28
26;4;1;10000;739,04;1,12;13;9507;32
27;4;1;10000;737,92;1,07;13;10176;30
28;4;1;10000;741,6;0,92;13;9787;29
30;4;1;10000;744,62;0,98;13;9663;30
29;4;1;10000;740,39;1,01;13;9597;28
;;;;739,4013333;1,019;12,83333333;9606,1;
;;;;3,624266616;0,099146356;0,379049022;231,1227991;
;;;;;;;;
;;;;731,2;0,86;12;9185;
;;;;747,21;1,3;13;10176;
