BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 00:02:36:783 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;859,6;1,56;12;9488;41
4;4;1;10000;875,38;1,72;11;8238;46
3;4;1;10000;854,7;1,39;10;9860;58
1;4;1;10000;867,96;1,58;11;8223;62
5;4;1;10000;863,5;1,73;11;8972;42
6;4;1;10000;841,73;1,63;10;9028;51
7;4;1;10000;833,14;1,51;11;8695;40
8;4;1;10000;847,2;1,51;12;8898;56
9;4;1;10000;847,72;1,76;11;8476;36
10;4;1;10000;862,04;1,91;10;9215;68
11;4;1;10000;869,54;1,54;11;9108;67
13;4;1;10000;864,95;1,53;12;8804;40
12;4;1;10000;876,42;1,73;11;9582;79
14;4;1;10000;859,82;1,69;11;9034;58
15;4;1;10000;868,62;1,56;11;8434;57
16;4;1;10000;831,55;1,65;12;9157;36
18;4;1;10000;867,65;1,37;11;8918;57
17;4;1;10000;833,85;1,49;11;8794;47
20;4;1;10000;875,34;1,72;11;9113;61
19;4;1;10000;866,59;1,66;11;9345;43
21;4;1;10000;860,26;1,68;11;9080;49
23;4;1;10000;871,45;1,71;11;7969;44
22;4;1;10000;849,9;1,97;11;8356;61
24;4;1;10000;861,35;2,09;10;8709;41
25;4;1;10000;850,73;1,59;11;7901;40
26;4;1;10000;845,12;1,59;10;9018;44
28;4;1;10000;842,6;1,9;10;7910;38
27;4;1;10000;858,86;1,71;11;9069;64
29;4;1;10000;872,72;1,92;10;9283;52
30;4;1;10000;837,66;1,81;11;8800;48
;;;;857,265;1,673666667;10,9;8849,233333;
;;;;13,5026099;0,167979542;0,607425318;488,1975775;
;;;;;;;;
;;;;831,55;1,37;10;7901;
;;;;876,42;2,09;12;9860;
