BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/14/2019 23:48:03:188 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;10000;752,04;0,82;13;9243;20
2;4;1;10000;743,92;0,8;14;9147;23
3;4;1;10000;744,87;0,79;13;8978;22
1;4;1;10000;742,82;0,81;13;8817;27
5;4;1;10000;738,43;1,02;13;8790;18
6;4;1;10000;744,29;0,94;13;8726;16
7;4;1;10000;730,91;0,83;13;8975;26
8;4;1;10000;741,28;0,85;13;8854;27
9;4;1;10000;747,44;0,84;13;9221;38
10;4;1;10000;758,8;0,86;14;9378;43
11;4;1;10000;755,62;0,86;13;9070;24
12;4;1;10000;752,75;0,89;13;9064;33
13;4;1;10000;751,56;0,82;13;9261;28
16;4;1;10000;743,3;0,76;13;9263;31
14;4;1;10000;756,4;0,83;14;9044;25
15;4;1;10000;754,07;0,89;13;8986;15
17;4;1;10000;749,62;0,82;13;8974;34
18;4;1;10000;749,34;0,81;13;9318;24
19;4;1;10000;756,3;0,92;13;9232;32
20;4;1;10000;746,49;0,81;14;8963;21
21;4;1;10000;757,16;0,8;14;9510;28
22;4;1;10000;738,55;0,87;13;9168;22
23;4;1;10000;741,35;0,77;14;8848;15
24;4;1;10000;746,43;0,86;14;9174;24
25;4;1;10000;737,61;0,77;13;9151;29
26;4;1;10000;746,18;0,84;13;9182;21
27;4;1;10000;743,69;0,84;13;8926;23
28;4;1;10000;739,79;0,81;13;8720;20
29;4;1;10000;744,39;0,91;13;9176;22
30;4;1;10000;744,15;0,83;13;8857;25
;;;;746,6516667;0,842333333;13,23333333;9067,2;
;;;;6,741448265;0,055003657;0,430183067;199,1653965;
;;;;;;;;
;;;;730,91;0,76;13;8720;
;;;;758,8;1,02;14;9510;
