BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS_ES_Time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 11:02:56:444 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;10000;840,65;1,55;12;9453;55
5;4;1;10000;852,5;1,99;11;9536;56
4;4;1;10000;837,3;1,88;10;8511;55
6;4;1;10000;840,87;1,79;10;8720;59
7;4;1;10000;846,79;1,57;11;8757;32
2;4;1;10000;844,46;1,74;9;9564;62
8;4;1;10000;848,02;1,48;11;9217;51
1;4;1;10000;847,34;1,65;10;9750;34
14;4;1;10000;846,1;1,69;11;8451;45
9;4;1;10000;859,67;1,64;12;8983;39
12;4;1;10000;855,34;1,49;11;9347;65
11;4;1;10000;861,04;1,62;11;8933;41
10;4;1;10000;852,7;1,47;12;8775;34
13;4;1;10000;882,23;1,51;12;8842;46
15;4;1;10000;867,64;1,6;11;8440;46
17;4;1;10000;851,04;1,59;12;8849;53
18;4;1;10000;881,42;1,58;10;8523;38
20;4;1;10000;857,62;1,69;9;9317;55
19;4;1;10000;874,29;1,38;11;8226;34
16;4;1;10000;852,68;1,7;11;9475;43
22;4;1;10000;844,8;1,76;11;8991;46
21;4;1;10000;862,12;1,67;11;9292;46
23;4;1;10000;843,8;1,53;11;9316;39
24;4;1;10000;894,55;1,5;11;8650;51
25;4;1;10000;850,64;1,67;12;8737;57
27;4;1;10000;867,62;1,49;11;8867;58
26;4;1;10000;864,35;1,65;12;9610;40
29;4;1;10000;848,87;1,88;11;9029;46
30;4;1;10000;850,67;1,37;12;8546;39
28;4;1;10000;880,94;1,47;11;8795;72
;;;;856,9353333;1,62;11;8983,4;
;;;;14,23948607;0,146428752;0,830454799;406,644435;
;;;;;;;;
;;;;837,3;1,37;9;8226;
;;;;894,55;1,99;12;9750;
