BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
Centralized_CFS_WS_ES_Time.nlogo;;;;;;;;
cfs_ws10k;;;;;;;;
05/15/2019 10:59:33:590 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;828,61;1,34;12;9170;54
3;4;1;10000;818,65;1,48;12;10357;57
4;4;1;10000;816,6;1,39;12;9552;60
8;4;1;10000;866,4;1,53;12;9975;54
2;4;1;10000;819,68;1,38;11;10138;37
6;4;1;10000;833,71;1,24;12;10313;47
7;4;1;10000;816,43;1,5;11;8851;37
1;4;1;10000;821,34;1,52;11;10081;40
9;4;1;10000;828,06;1,17;12;9115;40
11;4;1;10000;829,68;1,21;11;10605;40
10;4;1;10000;842,31;1,41;12;9479;49
12;4;1;10000;818,69;1,26;13;10166;49
14;4;1;10000;830,19;1,25;13;9904;52
13;4;1;10000;830,33;1,15;11;10070;29
15;4;1;10000;821,81;1,3;12;10509;46
17;4;1;10000;818,12;1,16;12;9481;54
16;4;1;10000;821,91;1,17;12;9393;58
20;4;1;10000;831;1,49;11;9991;62
18;4;1;10000;832,8;1,43;12;10257;38
22;4;1;10000;827,84;1,35;12;10481;44
21;4;1;10000;825,89;1,39;11;9769;46
19;4;1;10000;835,78;1,28;11;9679;59
24;4;1;10000;825,01;1,33;12;8544;28
26;4;1;10000;826,92;1,31;12;9294;54
23;4;1;10000;801,55;1,39;12;10411;52
27;4;1;10000;817,33;1,26;12;9346;29
30;4;1;10000;814,58;1,16;12;10134;48
28;4;1;10000;830,92;1,55;12;9193;50
29;4;1;10000;846,93;1,36;12;9611;51
25;4;1;10000;843,67;1,35;12;9216;48
;;;;827,4246667;1,337;11,8;9769,5;
;;;;11,96701465;0,119687812;0,550861394;535,9774667;
;;;;;;;;
;;;;801,55;1,15;11;8544;
;;;;866,4;1,55;13;10605;
