"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrone_EVAP;nlogo";;;;;;;;
nc-evap15k;;;;;;;;
04/17/2019 16:39:00:621 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;15000;723,35;0,82;22;26299;31
6;4;1;15000;739,19;0,77;22;26337;24
3;4;1;15000;715,66;1,01;21;25666;22
4;4;1;15000;715,55;0,77;22;25014;16
2;4;1;15000;735,23;0,77;21;26340;25
7;4;1;15000;721,77;0,97;21;26544;29
8;4;1;15000;720,89;0,86;22;25285;24
1;4;1;15000;720,12;0,72;22;26180;18
9;4;1;15000;731,03;1;21;25697;26
10;4;1;15000;722,76;0,88;21;26269;23
11;4;1;15000;727,65;0,92;21;26119;22
12;4;1;15000;726,15;0,84;21;26530;27
13;4;1;15000;722,92;0,79;21;25524;33
14;4;1;15000;716,85;0,8;21;25781;25
15;4;1;15000;723,96;0,78;22;26361;18
16;4;1;15000;720,99;0,77;20;25223;21
17;4;1;15000;715,19;0,84;22;25871;24
19;4;1;15000;723,49;0,71;21;25676;25
18;4;1;15000;730,68;0,71;21;27327;28
21;4;1;15000;715,43;0,99;20;25018;24
20;4;1;15000;716,45;0,87;21;25538;21
22;4;1;15000;718,24;0,96;21;25932;22
23;4;1;15000;715,4;0,72;21;25833;21
25;4;1;15000;723,54;0,7;22;25466;32
26;4;1;15000;730,97;0,83;20;25582;24
27;4;1;15000;729,09;0,8;22;25835;17
24;4;1;15000;713,27;0,83;22;25303;29
28;4;1;15000;723,99;0,77;22;26399;30
29;4;1;15000;718,4;0,76;22;25514;24
30;4;1;15000;729,17;0,86;22;25991;27
;;;;722,9126667;0,827333333;21,33333333;25881,8;
;;;;6,514494149;0,090246151;0,660894552;517,0133994;
