"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrone_EVAP;nlogo";;;;;;;;
nc-evap15k;;;;;;;;
04/17/2019 16:28:14:709 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
6;4;1;15000;724,98;0,88;22;25136;19
3;4;1;15000;716,93;0,86;21;25545;20
4;4;1;15000;717,69;0,99;20;24781;19
5;4;1;15000;715,92;1,1;20;25769;20
2;4;1;15000;715,94;0,81;21;25813;14
8;4;1;15000;715,26;0,79;21;26039;16
7;4;1;15000;726,64;1,09;20;26577;30
1;4;1;15000;724,21;0,77;22;25660;21
9;4;1;15000;728,47;0,83;22;26686;19
10;4;1;15000;718,79;0,88;21;25508;21
11;4;1;15000;722,68;0,78;22;25785;20
12;4;1;15000;723,14;0,95;21;25948;17
13;4;1;15000;722,13;0,87;21;26414;13
14;4;1;15000;710,15;0,88;21;25850;29
15;4;1;15000;722,16;0,94;21;25908;24
17;4;1;15000;709,46;0,71;21;25938;13
18;4;1;15000;733,73;0,92;21;26251;23
19;4;1;15000;724,3;0,91;21;24492;17
21;4;1;15000;706,38;0,75;22;25097;24
20;4;1;15000;716,55;1,26;20;25804;9
16;4;1;15000;717,51;0,89;21;25760;16
22;4;1;15000;713,78;1,17;20;24841;21
23;4;1;15000;708,21;1,18;21;24930;26
25;4;1;15000;727,28;0,77;21;25392;19
24;4;1;15000;709,65;0,76;22;26051;16
26;4;1;15000;718,07;0,86;21;26744;21
27;4;1;15000;723,21;0,73;22;26552;21
28;4;1;15000;715,37;0,86;21;24789;27
30;4;1;15000;720,74;0,72;22;25730;25
29;4;1;15000;711,33;0,92;22;26411;26
;;;;718,6886667;0,894333333;21,13333333;25740,03333;
;;;;6,624286941;0,142506705;0,681445387;604,4003288;
