BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone.nlogo;;;;;;;;
nc10k;;;;;;;;
03/26/2019 22:32:31:513 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;718,46;0,63;14;5529;8
4;4;1;10000;722,69;0,73;14;5345;15
1;4;1;10000;729,87;0,73;14;5559;10
3;4;1;10000;742,81;0,63;14;5542;7
6;4;1;10000;749,13;0,75;14;5639;12
5;4;1;10000;735,41;0,72;14;4766;5
7;4;1;10000;778,91;0,69;14;5858;15
8;4;1;10000;785,66;0,74;14;4981;8
9;4;1;10000;746,69;0,74;14;5405;10
10;4;1;10000;731,96;0,8;14;5592;9
11;4;1;10000;770,93;0,65;14;4718;6
12;4;1;10000;738,44;0,72;14;5421;4
14;4;1;10000;762,86;0,7;14;5117;7
13;4;1;10000;740,94;0,76;14;6270;13
15;4;1;10000;735,5;0,61;14;5280;7
17;4;1;10000;738,54;0,82;14;5792;11
16;4;1;10000;741,78;0,77;14;5249;8
18;4;1;10000;737,76;0,73;14;6038;6
20;4;1;10000;732,51;0,76;14;5635;6
22;4;1;10000;732,83;0,66;14;5819;8
19;4;1;10000;722,7;0,84;14;5574;8
21;4;1;10000;748,36;0,73;14;5924;7
23;4;1;10000;840,64;0,7;14;4166;2
24;4;1;10000;775,95;0,68;14;5432;3
26;4;1;10000;735,85;0,7;14;5629;12
25;4;1;10000;738,34;0,85;14;5648;11
27;4;1;10000;767,25;0,72;14;4968;4
28;4;1;10000;755,28;0,7;14;5241;9
29;4;1;10000;840,22;0,7;14;4689;8
30;4;1;10000;773,51;0,71;14;5056;7
;;;;752,3926667;0,722333333;14;5396,066667;
;;;;29,7420166;0,057755927;0;449,3491794;
