"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrone;nlogo";;;;;;;;
nc15k;;;;;;;;
03/26/2019 22:36:49:833 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;15000;747,93;0,76;22;9912;21
4;4;1;15000;756,9;0,77;22;9943;19
3;4;1;15000;774,81;0,74;21;9684;16
1;4;1;15000;741,54;0,7;21;9431;10
5;4;1;15000;783,83;0,75;21;8471;17
6;4;1;15000;776,1;0,75;22;9238;23
7;4;1;15000;777,13;0,77;22;8772;8
9;4;1;15000;807,95;0,93;22;8395;11
8;4;1;15000;750,79;0,68;22;10288;22
10;4;1;15000;782;0,77;22;8916;21
12;4;1;15000;748,02;0,84;22;9224;15
11;4;1;15000;751,04;0,72;22;9943;19
14;4;1;15000;756,15;0,85;22;9614;11
13;4;1;15000;808,31;0,71;22;8502;11
15;4;1;15000;767,89;0,83;22;10776;11
17;4;1;15000;745,44;0,78;22;10025;16
16;4;1;15000;750,32;0,77;22;10510;22
19;4;1;15000;753,56;0,78;22;9737;13
18;4;1;15000;813,02;0,99;22;8308;14
20;4;1;15000;746,98;0,72;22;9491;14
21;4;1;15000;767,93;0,74;22;8870;13
22;4;1;15000;745,7;0,71;22;9883;14
24;4;1;15000;746,28;0,7;22;9562;17
23;4;1;15000;776,76;0,83;22;9551;15
26;4;1;15000;750,56;0,74;22;9694;9
25;4;1;15000;747,35;0,76;22;9845;14
27;4;1;15000;759,16;0,77;22;9615;24
29;4;1;15000;743,84;0,61;22;10428;13
28;4;1;15000;744,33;0,72;22;10175;11
30;4;1;15000;754,36;0,72;22;9316;24
;;;;762,5326667;0,763666667;21,9;9537,3;
;;;;20,34098359;0,073319487;0,305128577;642,0975944;
