BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone_WS_TS.nlogo;;;;;;;;
nc-ws_ts15k;;;;;;;;
05/07/2019 13:22:37:714 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;15000;757,75;0,89;22;17968;267
5;4;1;15000;756,27;0,82;22;17555;229
7;4;1;15000;761,69;0,82;21;17918;274
2;4;1;15000;758,99;0,76;22;17785;260
6;4;1;15000;759,25;0,9;21;17789;261
4;4;1;15000;761,99;0,87;21;17939;270
1;4;1;15000;762,01;0,96;22;17759;263
8;4;1;15000;757,39;0,83;22;17704;231
9;4;1;15000;757,61;0,83;22;17638;248
10;4;1;15000;756,25;0,83;21;17888;254
14;4;1;15000;758,53;0,82;21;18095;285
12;4;1;15000;756,79;0,85;21;17716;258
11;4;1;15000;754,1;0,84;21;17664;218
16;4;1;15000;760,82;0,86;21;17677;273
13;4;1;15000;758,01;0,78;21;17888;269
15;4;1;15000;759,36;0,86;21;17925;272
17;4;1;15000;760,26;0,75;21;17776;247
20;4;1;15000;757,39;0,77;22;17666;261
19;4;1;15000;756,26;0,84;21;17827;251
21;4;1;15000;764,75;0,81;21;17885;253
18;4;1;15000;758,48;0,84;22;17849;246
22;4;1;15000;754,1;0,8;22;17608;228
23;4;1;15000;759,41;0,76;22;17838;221
24;4;1;15000;763,66;0,77;22;18079;251
25;4;1;15000;763,65;0,86;20;18040;291
26;4;1;15000;756,56;0,81;22;17817;264
28;4;1;15000;759,48;0,79;22;17860;240
29;4;1;15000;762,01;0,79;21;17900;243
30;4;1;15000;757,4;0,77;21;17526;246
27;4;1;15000;758,78;0,75;21;17827;216
;;;;758,9666667;0,821;21,4;17813,53333;
;;;;2,692861999;0,048802911;0,563241848;144,3935554;
