"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap10k;;;;;;;;
04/17/2019 10:00:42:564 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
7;4;1;10000;788,62;2;11;6716;7
2;4;1;10000;790,23;2,07;11;6143;7
3;4;1;10000;806,26;2,19;11;6965;17
8;4;1;10000;792,98;2,06;10;6962;12
4;4;1;10000;801,03;1,96;11;7144;12
5;4;1;10000;783,47;2,04;11;6519;7
6;4;1;10000;799,63;1,98;11;7079;11
9;4;1;10000;795,1;2,2;10;6505;11
12;4;1;10000;788,18;2,04;11;6351;11
11;4;1;10000;790,46;2,06;10;6128;19
1;4;1;10000;792,48;2,02;10;6974;9
10;4;1;10000;804,68;2,03;11;7267;12
13;4;1;10000;797,22;2,1;11;6792;14
14;4;1;10000;788,69;1,94;11;6724;11
15;4;1;10000;800,77;1,97;11;6360;8
16;4;1;10000;808,66;2,16;10;6275;10
18;4;1;10000;796,22;1,96;11;6646;10
17;4;1;10000;789,16;2,11;11;6798;14
20;4;1;10000;797,02;1,96;11;6742;8
21;4;1;10000;789,78;2,02;11;5962;11
23;4;1;10000;784,8;2,21;11;6676;11
22;4;1;10000;791,99;1,82;11;6908;10
24;4;1;10000;806,5;1,96;11;6338;10
25;4;1;10000;784,18;2,14;11;6865;11
19;4;1;10000;783,59;2,2;11;6153;12
26;4;1;10000;782,45;1,98;11;6425;8
27;4;1;10000;811,41;2,15;10;6212;14
28;4;1;10000;796,19;1,87;11;6268;12
29;4;1;10000;788,69;2,24;10;6464;12
30;4;1;10000;789,11;1,9;11;6829;15
;;;;793,985;2,044666667;10,76666667;6606,333333;
;;;;7,983226705;0,107598658;0,430183067;341,4737162;
