"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max_evap20k;;;;;;;;
04/17/2019 09:49:36:310 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;20000;817,64;2,69;24;15352;33
5;4;1;20000;821,88;2,82;24;15968;31
2;4;1;20000;823,33;2,73;25;16069;32
7;4;1;20000;818,85;2,7;25;16120;36
6;4;1;20000;816,45;2,71;24;15892;29
3;4;1;20000;825;2,91;24;15964;14
8;4;1;20000;826,22;2,82;23;16076;21
10;4;1;20000;819,33;2,96;24;15726;23
9;4;1;20000;821,02;2,71;24;16139;28
11;4;1;20000;829,67;2,94;23;15816;33
1;4;1;20000;816,39;3,06;24;16468;29
12;4;1;20000;823,75;2,8;25;15960;23
13;4;1;20000;819,38;3,22;23;16412;29
14;4;1;20000;824,34;2,93;23;15954;34
15;4;1;20000;810,21;2,75;24;15768;23
17;4;1;20000;828,55;2,95;24;16199;19
16;4;1;20000;829,5;2,87;23;15839;20
18;4;1;20000;820,13;2,85;24;15724;26
20;4;1;20000;818,83;2,76;25;15547;25
22;4;1;20000;827,57;2,85;24;15930;28
21;4;1;20000;814,85;2,87;24;15186;19
23;4;1;20000;829,19;2,92;25;16473;31
19;4;1;20000;830,6;3,04;22;15686;14
25;4;1;20000;821,84;2,89;24;16589;33
26;4;1;20000;823,19;3;23;16017;29
24;4;1;20000;819,61;2,78;25;15706;33
27;4;1;20000;816,54;2,93;24;16397;28
29;4;1;20000;820,62;2,82;24;16297;31
28;4;1;20000;817,63;2,89;24;16347;40
30;4;1;20000;843,25;2,97;22;15355;25
;;;;822,512;2,871333333;23,86666667;15965,86667;
;;;;6,333517517;0,121164844;0,819307249;349,9290306;
