"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"NCDrones_Max;nlogo";;;;;;;;
max15k;;;;;;;;
03/27/2019 09:00:09:505 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;15000;834,94;2,73;17;10890;12
2;4;1;15000;820,66;2,56;17;11016;24
1;4;1;15000;824,85;2,63;18;10779;20
4;4;1;15000;846,3;2,52;18;11237;17
5;4;1;15000;823,47;2,75;16;10960;18
6;4;1;15000;825,16;2,88;16;11551;16
8;4;1;15000;829,03;2,81;16;11640;21
7;4;1;15000;838;2,76;16;11212;27
9;4;1;15000;838,04;2,73;17;10910;18
12;4;1;15000;839,02;2,58;17;11535;26
10;4;1;15000;828;2,54;17;10891;19
11;4;1;15000;830,58;2,72;16;10944;14
14;4;1;15000;819,11;2,68;16;11472;27
13;4;1;15000;813,69;2,56;17;11290;21
16;4;1;15000;831,61;2,82;16;10999;44
15;4;1;15000;835,74;2,69;18;10961;20
17;4;1;15000;823,31;2,63;16;10747;24
18;4;1;15000;828,12;2,75;16;11533;23
20;4;1;15000;820,73;2,66;17;10573;25
19;4;1;15000;816,01;2,52;18;11221;30
21;4;1;15000;824,35;2,67;17;10331;26
22;4;1;15000;842,21;2,78;16;11273;30
24;4;1;15000;829,51;2,84;16;10653;18
23;4;1;15000;829,66;2,56;18;11424;19
25;4;1;15000;833,46;2,83;17;11190;24
26;4;1;15000;837,06;2,44;17;11528;24
27;4;1;15000;827,64;2,68;17;10629;19
28;4;1;15000;819,91;2,72;17;10817;18
29;4;1;15000;820,97;2,48;17;10546;20
30;4;1;15000;815,41;2,58;17;11045;13
;;;;828,2183333;2,67;16,8;11059,9;
;;;;8,273395285;0,11644149;0,71438423;346,5552999;
