BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrones_Max.nlogo;;;;;;;;
max20k;;;;;;;;
03/27/2019 09:05:33:984 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;20000;842,37;2,96;24;15805;21
3;4;1;20000;832,31;2,92;24;14960;33
2;4;1;20000;832,72;3;24;14818;47
1;4;1;20000;847,12;3,15;22;16098;38
5;4;1;20000;830,03;3,12;24;15300;36
6;4;1;20000;832,38;2,95;24;15159;35
8;4;1;20000;836,76;2,87;24;15492;46
7;4;1;20000;827,36;2,78;24;15407;32
9;4;1;20000;842,87;3,05;23;15615;25
10;4;1;20000;845,75;2,77;25;15575;35
11;4;1;20000;830,01;2,92;23;15542;25
12;4;1;20000;846;3,05;24;15317;33
13;4;1;20000;817,19;2,95;22;15317;39
14;4;1;20000;846,19;3,21;23;14541;31
15;4;1;20000;842,42;2,91;24;15688;37
16;4;1;20000;843,56;2,96;24;15081;33
17;4;1;20000;835,48;2,98;24;14639;36
18;4;1;20000;820,72;3,14;24;15598;33
19;4;1;20000;838,36;2,73;24;15453;39
20;4;1;20000;832,29;2,87;23;15352;22
21;4;1;20000;844,43;3,28;23;15112;25
22;4;1;20000;838,55;3,15;23;15305;28
23;4;1;20000;848,77;2,88;24;15119;38
24;4;1;20000;842,46;3,16;24;15447;31
25;4;1;20000;849,43;3,3;24;15404;25
26;4;1;20000;832,21;2,99;24;16069;35
27;4;1;20000;838,51;3,14;23;14816;31
28;4;1;20000;830,91;2,75;24;15591;20
29;4;1;20000;844,86;3,15;24;15432;30
30;4;1;20000;820,07;2,98;25;15578;36
;;;;837,0696667;3,002333333;23,7;15354,33333;
;;;;8,723868362;0,153008527;0,70221325;366,0299906;
