BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrones_Max_wathershed.nlogo;;;;;;;;
10k;;;;;;;;
11/19/2018 18:11:01:000 -0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
5;4;1;10000;792,79;1,9;11;6995;41
6;4;1;10000;818,78;2,31;10;7023;45
7;4;1;10000;821,33;2,42;10;7165;36
3;4;1;10000;809,7;1,91;11;6851;42
2;4;1;10000;804,21;2,4;11;6679;28
1;4;1;10000;797,72;2,34;10;6896;35
8;4;1;10000;793,7;1,86;11;6900;31
4;4;1;10000;803;2,12;10;6896;28
11;4;1;10000;791,2;1,9;11;6598;37
10;4;1;10000;792,51;1,77;11;6677;34
14;4;1;10000;798,56;1,87;11;7239;23
12;4;1;10000;784,23;1,86;11;7131;35
15;4;1;10000;797,39;1,84;11;6814;44
9;4;1;10000;813,49;2,3;10;6747;44
16;4;1;10000;797,06;2,19;10;7113;33
13;4;1;10000;785,99;2,05;11;6924;35
19;4;1;10000;793,23;2,19;10;6714;43
17;4;1;10000;806,08;1,95;11;7166;21
18;4;1;10000;805,85;2,24;11;6810;27
20;4;1;10000;796,34;2,05;10;6389;25
22;4;1;10000;808,65;2,29;10;6625;32
21;4;1;10000;800,23;2,04;11;6231;30
24;4;1;10000;809,92;2,34;10;6685;31
23;4;1;10000;802,24;2,15;11;7183;41
26;4;1;10000;795,64;1,97;11;7050;26
25;4;1;10000;807,97;2,21;10;6769;33
27;4;1;10000;796,88;2,12;11;6729;16
28;4;1;10000;807,39;1,95;11;6809;49
29;4;1;10000;799,65;2,03;11;7127;29
30;4;1;10000;806,14;1,8;11;6915;27
;;;;801,2623333;2,079;10,63333333;6861,666667;
;;;;8,806302086;0,194037856;0,490132518;237,8455502;
