"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"max_ws_ts;nlogo";;;;;;;;
20k;;;;;;;;
04/10/2019 16:26:20:341 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;20000;839,48;2,84;23;16462;82
2;4;1;20000;836,42;2,91;24;15880;75
5;4;1;20000;847,87;2,8;24;16332;93
4;4;1;20000;830,44;2,81;23;16067;68
6;4;1;20000;850,05;2,94;24;16170;76
8;4;1;20000;860,72;3,3;24;16149;95
7;4;1;20000;838,74;2,74;24;15544;69
1;4;1;20000;823,87;2,62;24;16302;85
9;4;1;20000;828,21;2,77;24;16223;81
11;4;1;20000;840,41;3,17;23;15862;82
10;4;1;20000;836,54;2,54;25;16154;105
14;4;1;20000;844,49;2,68;24;15729;78
15;4;1;20000;826,06;2,79;25;16033;87
13;4;1;20000;837,66;2,74;24;15886;83
12;4;1;20000;835,85;2,53;25;16154;72
16;4;1;20000;830,66;2,8;24;16201;82
17;4;1;20000;829,46;2,71;25;15612;74
20;4;1;20000;837,37;2,81;25;15881;87
19;4;1;20000;840,3;2,89;23;15343;82
18;4;1;20000;831,33;2,98;24;15986;78
21;4;1;20000;843,4;2,6;25;15870;80
22;4;1;20000;834,48;2,84;25;16110;74
23;4;1;20000;841,95;2,74;24;16236;82
24;4;1;20000;834,77;2,67;24;16284;67
26;4;1;20000;836,46;2,7;25;15979;76
25;4;1;20000;837,25;2,77;24;16001;102
27;4;1;20000;840,58;3,05;24;16552;75
29;4;1;20000;838,81;2,9;23;16091;79
28;4;1;20000;839,74;2,74;25;16107;89
30;4;1;20000;833,13;2,77;25;16441;85
;;;;837,55;2,805;24,16666667;16054,7;
;;;;7,40352479;0,167512223;0,698931862;270,9132893;
