"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix_EVAP;nlogo";;;;;;;;
multi_evap20k;;;;;;;;
04/26/2019 14:38:58:056 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;20000;868,2;1,03;29;37327;210
2;4;1;20000;853,33;1,13;28;37307;220
6;4;1;20000;850,03;1,18;28;38459;278
5;4;1;20000;853,49;1,21;28;37069;221
1;4;1;20000;891,69;1,03;29;37908;244
4;4;1;20000;877,66;1,58;28;39288;264
7;4;1;20000;849,54;1,55;28;38219;239
8;4;1;20000;860,03;1,2;29;38019;217
9;4;1;20000;844,39;1,2;28;38733;248
10;4;1;20000;864,32;1,24;28;38916;272
12;4;1;20000;851,53;1,18;29;36618;189
11;4;1;20000;844,82;1,4;28;38425;244
13;4;1;20000;869,04;1,04;29;37710;248
15;4;1;20000;858,75;1,06;28;37136;234
14;4;1;20000;870,09;1,3;28;38961;238
17;4;1;20000;862;1,32;28;37888;236
16;4;1;20000;859,46;1,22;28;36736;215
18;4;1;20000;867,43;1,31;27;37678;204
19;4;1;20000;847,57;1,33;28;36429;244
20;4;1;20000;848,1;1,69;27;37014;188
21;4;1;20000;857,76;1,56;28;38990;237
23;4;1;20000;849,02;1,11;29;37940;228
22;4;1;20000;853,14;0,98;29;37037;243
24;4;1;20000;837,27;1,13;26;37081;237
26;4;1;20000;857,38;1,35;28;35093;221
25;4;1;20000;860,04;1,05;29;36465;212
27;4;1;20000;856,29;1,11;29;38071;211
28;4;1;20000;857,5;1,14;28;37303;252
29;4;1;20000;850,01;1,16;29;37970;212
30;4;1;20000;869,99;1,42;28;38020;250
;;;;858,00;1,24;28,20;37660,33333;
;;;;11,11;0,18;0,71;922,80;
