"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix_EVAP;nlogo";;;;;;;;
multi_evap20k;;;;;;;;
04/26/2019 11:34:45:847 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;20000;864,59;1,3;28;37703;156
3;4;1;20000;849,36;1,34;28;37305;184
5;4;1;20000;844,25;1,25;28;35388;141
7;4;1;20000;839,37;1,51;28;35962;161
2;4;1;20000;859,48;1,5;28;38025;158
6;4;1;20000;847,55;1,16;27;36907;159
8;4;1;20000;852,75;1,43;28;36443;153
1;4;1;20000;838,23;1,26;28;35182;132
9;4;1;20000;843,36;1,1;28;35495;152
12;4;1;20000;838,79;1,19;28;36282;167
11;4;1;20000;847,24;1,16;29;36868;148
10;4;1;20000;852,16;1,3;28;36884;180
13;4;1;20000;852,97;1,33;27;38681;175
15;4;1;20000;853,16;1,45;28;35187;146
14;4;1;20000;870,12;1,47;28;37838;176
17;4;1;20000;862,48;1,18;28;36682;143
20;4;1;20000;864,3;1,11;28;36409;130
16;4;1;20000;854,94;1,29;28;36687;159
18;4;1;20000;851,96;1,24;29;34889;158
19;4;1;20000;862,58;1,3;28;37218;159
22;4;1;20000;852,57;1,52;28;35920;166
21;4;1;20000;862,18;1,13;28;37017;149
23;4;1;20000;855,33;1,56;26;36307;140
25;4;1;20000;861,57;1,26;28;37177;153
24;4;1;20000;842,91;1,07;28;38091;181
27;4;1;20000;832,01;1,56;27;35538;145
28;4;1;20000;859,02;1,27;28;36183;134
26;4;1;20000;845,38;1,55;28;37129;173
29;4;1;20000;853,78;1,51;28;38214;185
30;4;1;20000;840,16;1,4;28;37022;186
;;;;851,82;1,32;27,90;36687,76667;
;;;;9,39;0,15;0,55;980,08;
