"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"MultipleMatrix;nlogo";;;;;;;;
multi15k;;;;;;;;
03/28/2019 13:24:18:587 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
3;4;1;15000;882,89;1,27;20;13870;542
2;4;1;15000;875,86;1,19;20;13282;405
6;4;1;15000;898,59;1,09;21;14219;493
5;4;1;15000;888,54;1,07;21;13748;422
7;4;1;15000;880,87;1,04;21;13136;454
4;4;1;15000;897,95;1,17;21;13513;447
8;4;1;15000;889,27;1,09;21;14622;551
9;4;1;15000;883,02;1,26;20;13833;482
10;4;1;15000;897,4;1,44;20;12727;496
12;4;1;15000;870,94;1,59;20;14142;526
11;4;1;15000;876,55;1,33;20;13314;461
1;4;1;15000;902,94;1,16;21;13915;586
13;4;1;15000;874,75;1,13;21;14018;455
14;4;1;15000;869,7;1,65;20;12720;476
15;4;1;15000;876,98;1,17;21;15482;532
16;4;1;15000;871;1,2;20;13628;473
17;4;1;15000;876,17;1,22;21;13834;533
18;4;1;15000;888,08;1,08;21;14557;609
19;4;1;15000;870,16;1,27;21;13287;481
21;4;1;15000;875,31;1,13;20;14948;586
22;4;1;15000;887,34;1,29;20;14694;540
23;4;1;15000;862,82;1,22;21;14015;357
25;4;1;15000;893,27;1,09;21;13812;508
24;4;1;15000;886,99;1,35;20;15134;514
26;4;1;15000;862,35;1,09;19;14169;522
20;4;1;15000;877,78;1,25;21;13911;522
27;4;1;15000;888,32;1,12;21;13441;447
28;4;1;15000;879,9;1,18;20;13638;518
29;4;1;15000;858,3;1,41;20;13719;478
30;4;1;15000;870,1;1,08;21;13835;440
;;;;880,4713333;1,221;20,5;13905,43333;
;;;;11,34029031;0,149374558;0,572351471;643,2734005;
