BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
global.nlogo;;;;;;;;
global10k;;;;;;;;
10/31/2018 16:58:00:155 -0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;10000;842,41;1,1;13;7991;292
6;4;1;10000;837,17;1,16;13;7313;233
5;4;1;10000;824,93;1,15;12;8194;288
3;4;1;10000;831,41;1,16;13;7535;232
7;4;1;10000;848,68;1,24;13;6733;224
2;4;1;10000;836,19;1,19;13;7784;275
1;4;1;10000;834,19;0,94;13;7235;262
8;4;1;10000;851,89;1,15;12;8409;312
9;4;1;10000;854,49;1,24;13;7340;311
14;4;1;10000;848,4;1,34;12;8176;338
10;4;1;10000;839,27;1,11;13;7532;269
13;4;1;10000;824,24;1,23;13;7119;240
11;4;1;10000;841,15;1,27;13;8056;247
12;4;1;10000;852,53;1,14;12;7504;285
16;4;1;10000;842,66;1,15;12;6686;266
15;4;1;10000;826,46;1,4;12;7415;241
17;4;1;10000;837,67;1,24;13;6660;228
18;4;1;10000;827,92;0,98;13;7225;268
21;4;1;10000;841,38;1;13;8319;351
20;4;1;10000;844,06;1,16;13;7465;246
19;4;1;10000;887,84;1,15;13;7690;258
22;4;1;10000;835,4;1,21;13;7250;237
23;4;1;10000;841,52;1,11;13;8072;269
25;4;1;10000;845,16;1,17;13;7125;257
24;4;1;10000;845,23;1,39;12;7667;302
26;4;1;10000;840,62;1,18;12;7406;241
28;4;1;10000;841,14;1,26;12;7774;331
30;4;1;10000;840,04;1,05;12;6828;276
29;4;1;10000;855,98;0,87;12;6765;234
27;4;1;10000;833,8;1,17;13;7623;289
;;;;841,7943333;1,163666667;12,63333333;7496,366667;
;;;;12,02384518;0,118131526;0,490132518;493,7561511;
