"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"global;nlogo";;;;;;;;
global20k;;;;;;;;
10/31/2018 20:34:41:829 -0200;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;20000;886,68;1,07;28;19950;896
3;4;1;20000;890,9;1,22;28;18697;852
7;4;1;20000;882,81;1,26;28;19042;888
5;4;1;20000;876,16;1,24;29;18239;753
4;4;1;20000;866,63;1,22;29;18431;851
8;4;1;20000;886,44;1,25;29;19313;867
1;4;1;20000;874,34;1,05;29;18122;811
6;4;1;20000;873,02;1,06;29;18772;792
9;4;1;20000;886,61;1,21;28;19271;862
13;4;1;20000;891,23;1,15;29;19555;841
12;4;1;20000;877,72;1,23;29;19205;820
14;4;1;20000;877,46;1,24;28;18844;785
10;4;1;20000;881,37;1,12;29;19371;875
15;4;1;20000;893,04;1,27;28;19629;1064
11;4;1;20000;884,98;1,2;29;19014;877
16;4;1;20000;872,18;1,17;29;18823;862
17;4;1;20000;873,79;1,33;28;18746;744
21;4;1;20000;897,31;1,32;27;19350;1042
18;4;1;20000;877,24;1,03;29;18559;783
19;4;1;20000;879,19;1,17;29;18760;791
20;4;1;20000;882,71;1,19;29;19107;811
23;4;1;20000;882,09;1,11;29;18879;863
22;4;1;20000;875,19;1,31;28;18775;828
24;4;1;20000;879,19;1,14;29;19138;771
26;4;1;20000;889,64;1,44;28;19536;991
27;4;1;20000;883,04;1,06;29;18652;838
25;4;1;20000;879,65;1,14;28;19736;919
29;4;1;20000;884,42;1,21;28;18151;803
28;4;1;20000;882,31;1,24;29;19593;885
30;4;1;20000;883,94;1,14;28;19289;788
;;;;881,7093333;1,193;28,53333333;19018,3;
;;;;6,856661464;0,093666687;0,571346464;472,0937334;
