"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"multi_ws_ts;nlogo";;;;;;;;
multi_ws_ts10k;;;;;;;;
04/08/2019 11:32:36:603 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
2;4;1;10000;857,2;1,54;12;7001;239
8;4;1;10000;831,28;1,4;12;8977;322
5;4;1;10000;863,18;1,29;12;8241;335
1;4;1;10000;848,7;1,12;13;8275;316
7;4;1;10000;846,5;1,41;12;8630;325
3;4;1;10000;853,08;1,43;12;8800;371
6;4;1;10000;831,58;1,21;13;8669;288
4;4;1;10000;835,08;1,3;12;8072;286
9;4;1;10000;830,46;1,39;11;8645;324
12;4;1;10000;840,08;1,26;13;8990;407
11;4;1;10000;841,44;1,16;12;9159;396
13;4;1;10000;841,38;1,3;12;9054;408
14;4;1;10000;851,68;1,46;12;8623;335
10;4;1;10000;846,84;1,2;11;8647;330
16;4;1;10000;837,44;1,33;13;8448;376
15;4;1;10000;843,12;1,06;12;9045;351
19;4;1;10000;848,32;1,63;11;8554;409
17;4;1;10000;844,79;1,52;12;9088;374
18;4;1;10000;848,44;1;13;8713;342
21;4;1;10000;832,89;1,3;13;8720;389
22;4;1;10000;833,91;1,56;12;8584;327
20;4;1;10000;838,72;1,19;13;8597;336
23;4;1;10000;837,76;1,29;13;8932;361
24;4;1;10000;856,51;1,28;12;9241;409
26;4;1;10000;853,31;1,31;12;8576;317
27;4;1;10000;835,23;1,28;12;8204;312
25;4;1;10000;823,41;1,24;12;8796;318
29;4;1;10000;859,52;1,09;13;8518;341
28;4;1;10000;815,51;1,14;12;8452;299
30;4;1;10000;866,26;1,15;12;8607;351
;;;;843,1206667;1,294666667;12,2;8628,6;
;;;;11,70241176;0,153527114;0,610257153;421,1321031;
