"BehaviorSpace results (NetLogo 5;3;1)";;;;;;;;
"global;nlogo";;;;;;;;
global20k;;;;;;;;
04/05/2019 16:26:33:994 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
7;4;1;20000;878,49;1,4;28;19943;877
6;4;1;20000;884,78;1,27;28;19293;810
2;4;1;20000;904,23;1,63;28;20966;1128
3;4;1;20000;887,35;1,47;28;19963;864
5;4;1;20000;888,61;1,45;28;20420;981
1;4;1;20000;886,36;1,42;28;20452;1012
8;4;1;20000;891,9;1,24;28;19387;987
4;4;1;20000;873,6;1,27;28;19521;928
9;4;1;20000;892,26;1,57;28;20512;1027
12;4;1;20000;878,72;1,42;28;20198;1009
14;4;1;20000;899,63;1,67;26;19457;1102
10;4;1;20000;883,67;1,52;28;19824;864
13;4;1;20000;884,64;1,61;28;19761;1018
11;4;1;20000;877,75;1,39;29;19958;876
15;4;1;20000;894,84;1,4;28;20232;997
16;4;1;20000;884,91;1,39;28;20585;978
17;4;1;20000;875,46;1,65;28;20164;1101
21;4;1;20000;885,31;1,24;27;19739;1079
20;4;1;20000;884,1;1,23;29;19570;850
18;4;1;20000;886,73;1,35;29;19462;925
19;4;1;20000;875,09;1,33;28;20240;885
23;4;1;20000;900,38;1,31;28;20142;1123
22;4;1;20000;886,58;1,16;29;20565;1059
24;4;1;20000;878,74;1,5;28;19576;826
25;4;1;20000;878,11;1,2;28;20100;875
28;4;1;20000;898,61;1,49;28;21509;1129
27;4;1;20000;895,83;1,54;29;19815;856
26;4;1;20000;884,05;1,6;28;20163;871
29;4;1;20000;890,74;1,34;28;20127;915
30;4;1;20000;884,7;1,44;28;19413;946
;;;;886,539;1,416666667;28,06666667;20035,23333;
;;;;7,991154312;0,142110528;0,583292281;502,5144145;
